"Offence Name","Category","DefaultPenaltyAmount","Tier","FirstOffenceAction","SecondOffenceAction","ThirdOffenceAction"
"Office Lime Contravention","Conduct","₦ 5,000.00","Tier 2","P5 & CBT","P5 & 1% KREST Deduction ","P5 & 1% KREST Deduction + Chairman Session"
"Dress Policy Contravention","Conduct","₦ 5,000.00","Tier 1","P5","P5 & CBT","P5 & 1% KREST Deduction"
"DDP Contravention","Strategic","₦ 5,000.00","Tier 2","P5 & CBT","P5 & 1% KREST Deduction ","P5 & 1% KREST Deduction + Chairman Session"
"Late to Work/Site","Conduct","₦ 5,000.00","Tier 1","P5","P5 & CBT","P5 & 1% KREST Deduction"
"Unauthorized Absence","Conduct","₦ 5,000.00","Tier 1","P5","P5 & CBT","P5 & 1% KREST Deduction"
"Office Cleanliness Violation","Conduct","₦ 5,000.00","Tier 1","P5","P5 & CBT","P5 & 1% KREST Deduction"
"Disrespectful Conduct","Conduct","₦ 5,000.00","Tier 1","P5","P5 & CBT","P5 & 1% KREST Deduction"
"Unauthorized Document Release","Project Integrity","₦ 5,000.00","Tier 2","P5 & CBT","P5 & 1% KREST Deduction ","P5 & 1% KREST Deduction + Chairman Session"
"Procurement Policy Breach","Project Integrity","₦ 5,000.00","Tier 2","P5 & CBT","P5 & 1% KREST Deduction ","P5 & 1% KREST Deduction + Chairman Session"
"Falsification of Records","Project Integrity","₦ 5,000.00","Tier 2","P5 & CBT","P5 & 1% KREST Deduction ","P5 & 1% KREST Deduction + Chairman Session"
"Confidentiality Breach","Strategic","₦ 5,000.00","Tier 3","P5 & Chairman Session","P5 & Chairman Session + Termination Possible","P5 & Chairman Session + Termination Possible + Unpaid Leave"
"Conflict of Interest","Strategic","₦ 5,000.00","Tier 3","P5 & Chairman Session","P5 & Chairman Session + Termination Possible","P5 & Chairman Session + Termination Possible + Unpaid Leave"
"Fraud or Financial Misconduct","Strategic","₦ 5,000.00","Tier 3","P5 & Chairman Session","P5 & Chairman Session + Termination Possible","P5 & Chairman Session + Termination Possible + Unpaid Leave"
"Reputational Damage to Company","Strategic","₦ 5,000.00","Tier 3","P5 & Chairman Session","P5 & Chairman Session + Termination Possible","P5 & Chairman Session + Termination Possible + Unpaid Leave"
"Gross Negligence or Wilful Safety Violation","EHSQ","₦ 0.00","Tier 3","Disciplinary actions","Disciplinary actions","Termination"
"Tampering with Equipment or Machinery","EHSQ","₦ 5,000.00","Tier 3","P5","Suspension (2 Weeks)","Termination"
"Failure to Attend Mandatory HSE Trainings","EHSQ","₦ 5,000.00","Tier 1","P5","P10","P15"
"Failure to Complete BUILDSAFE Scoreboard","EHSQ","₦ 5,000.00","Tier 1","P5","P10","P15"
"Falsification of BUILDSAFE Scoreboard Data","EHSQ","₦ 10,000.00","Tier 2","P10","Suspension (2 Weeks)","Termination"
"Bribery Theft Vandalism or Fraud","EHSQ","₦ 0.00","Tier 3","Termination and Prosecution","Termination and Prosecution","Termination and Prosecution"
"Substance Abuse on Duty","EHSQ","₦ 0.00","Tier 3","Termination","Termination","Termination"
"Failure to Report Incidents Within 24hrs","EHSQ","₦ 5,000.00","Tier 1","P5","P10","Suspension (2 Weeks)"
"Damage to KCC Property Due to Negligence","EHSQ","₦ 5,000.00","Tier 2","P5","P10","Suspension (2 Weeks)"
"Quality Non-Conformance or Record Falsification","EHSQ","₦ 5,000.00","Tier 2","Suspension (2 Weeks)","Suspension (4 Weeks)","Termination"
"Unauthorized Entry or Bringing Unauthorized Persons","EHSQ","₦ 5,000.00","Tier 1","P5","P10","Suspension (2 Weeks)"
"Non-Conformance to BUILDSAFE Procedures","EHSQ","₦ 5,000.00","Tier 2","P5","P10","Suspension (2 Weeks)"
"Non-Conformance to EHSQ Policies","EHSQ","₦ 5,000.00","Tier 1","P5","P10","Disciplinary Action"
"Driving Without Seatbelt or Valid Licence","EHSQ","₦ 5,000.00","Tier 1","P5","Retrieve Vehicle","-"
"Working Without Valid PTW","EHSQ","₦ 10,000.00","Tier 2","P10","P15","Suspension (2 Weeks)"
"Harassment Threats or Workplace Violence","EHSQ","₦ 0.00","Tier 2","Disciplinary Action","Termination","-"
"Mobilization Without Valid Regulatory Permits","EHSQ","₦ 0.00","Tier 3","Suspension (1 Week)","Suspension (4 Weeks)","Termination"
"No HSE Officer on Site","EHSQ","₦ 5,000.00","Tier 2","P5","P10","Suspension (2 Weeks)"
"Working Without PPE","EHSQ","₦ 5,000.00","Tier 1","P5","Suspension (1 Week)","Expulsion"
"Non-Compliance to EHSQ Pre-Mobilization Requirements","EHSQ","₦ 5,000.00","Tier 2","P5","P10","Suspension (2 Weeks)"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
